text,polarity,id,polarity_nb,polarity_svm
tender yet lacerating and darkly funny fable .,positive,49,NA,NA
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,positive,50,NA,NA
some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,positive,53,NA,NA
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",positive,54,NA,NA
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",positive,55,NA,NA
"manages to be original , even though it rips off many of its ideas .",positive,57,NA,NA
"singer/composer bryan adams contributes a slew of songs � a few potential hits , a few more simply intrusive to the story � but the whole package certainly captures the intended , er , spirit of the piece .",positive,58,NA,NA
you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,positive,59,NA,NA
"a pleasant enough movie , held together by skilled ensemble actors .",positive,61,NA,NA
this is the best american movie about troubled teens since 1998's whatever .,positive,62,NA,NA
disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,positive,63,NA,NA
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,positive,64,NA,NA
"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",positive,65,NA,NA
the invincible werner herzog is alive and well and living in la,positive,66,NA,NA
"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",positive,67,NA,NA
part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,positive,68,NA,NA
son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,positive,69,NA,NA
a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,positive,70,NA,NA
"a taut , intelligent psychological drama .",positive,71,NA,NA
a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,positive,72,NA,NA
"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",positive,73,NA,NA
at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,positive,75,NA,NA
"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !",positive,76,NA,NA
"a screenplay more ingeniously constructed than "" memento """,positive,77,NA,NA
haneke challenges us to confront the reality of sexual aberration .,positive,79,NA,NA
absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,positive,80,NA,NA
"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",positive,81,NA,NA
"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .",positive,82,NA,NA
"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",positive,83,NA,NA
an imaginative comedy/thriller .,positive,84,NA,NA
"a few artsy flourishes aside , narc is as gritty as a movie gets these days .",positive,85,NA,NA
"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",positive,86,NA,NA
"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema .",positive,87,NA,NA
"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",positive,89,NA,NA
a sports movie with action that's exciting on the field and a story you care about off it .,positive,90,NA,NA
"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .",positive,91,NA,NA
the tenderness of the piece is still intact .,positive,92,NA,NA
"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",positive,93,NA,NA
"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated .",positive,94,NA,NA
while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .,positive,95,NA,NA
"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clich�s disappear into the vertiginous perspectives opened up by the photography .",positive,97,NA,NA
writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,positive,98,NA,NA
. . . a roller-coaster ride of a movie,positive,99,NA,NA
a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,positive,103,NA,NA
"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique .",positive,104,NA,NA
"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",positive,105,NA,NA
"if it's possible for a sequel to outshine the original , then sl2 does just that .",positive,106,NA,NA
a romantic comedy that operates by the rules of its own self-contained universe .,positive,107,NA,NA
"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip .",positive,108,NA,NA
the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm,positive,109,NA,NA
"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery .",positive,112,NA,NA
"a mostly intelligent , engrossing and psychologically resonant suspenser .",positive,113,NA,NA
"it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .",positive,114,NA,NA
"hip-hop has a history , and it's a metaphor for this love story .",positive,115,NA,NA
"in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level .",positive,116,NA,NA
"this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there .",positive,117,NA,NA
"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .",positive,118,NA,NA
"a gentle , compassionate drama about grief and healing .",positive,119,NA,NA
"somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .",positive,120,NA,NA
digital-video documentary about stand-up comedians is a great glimpse into a very different world .,positive,121,NA,NA
"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .",positive,122,NA,NA
"an enthralling , playful film that constantly frustrates our desire to know the 'truth' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to .",positive,123,NA,NA
""" extreme ops "" exceeds expectations . good fun , good action , good acting , good dialogue , good pace , good cinematography .",positive,124,NA,NA
you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human .,positive,125,NA,NA
"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences .",positive,126,NA,NA
"it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world .",positive,127,NA,NA
"run , don't walk , to see this barbed and bracing comedy on the big screen .",positive,128,NA,NA
a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,positive,129,NA,NA
"it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale .",positive,130,NA,NA
"it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .",positive,131,NA,NA
it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious .,positive,135,NA,NA
it will delight newcomers to the story and those who know it from bygone days .,positive,137,NA,NA
gloriously goofy ( and gory ) midnight movie stuff .,positive,138,NA,NA
the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,positive,139,NA,NA
"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket .",positive,140,NA,NA
it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times .,positive,142,NA,NA
"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",positive,143,NA,NA
"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",positive,144,NA,NA
"it's a hoot and a half , and a great way for the american people to see what a candidate is like when he's not giving the same 15-cent stump speech .",positive,145,NA,NA
"far from perfect , but its heart is in the right place . . . innocent and well-meaning .",positive,146,NA,NA
"a sad , superior human comedy played out on the back roads of life .",positive,147,NA,NA
"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",positive,148,NA,NA
"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",positive,149,NA,NA
"more a load of enjoyable , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent .",positive,150,NA,NA
"enormously likable , partly because it is aware of its own grasp of the absurd .",positive,151,NA,NA
"here's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",positive,152,NA,NA
"it's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh .",positive,153,NA,NA
must be seen to be believed .,positive,154,NA,NA
"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true .",positive,156,NA,NA
"sweet home alabama "" is what it is � a nice , harmless date film . . .",positive,157,NA,NA
"the year's happiest surprise , a movie that deals with a real subject in an always surprising way .",positive,158,NA,NA
fans of behan's work and of irish movies in general will be rewarded by borstal boy .,positive,159,NA,NA
"its mysteries are transparently obvious , and it's too slowly paced to be a thriller . [but it's] worth recommending because of two marvelous performances by michael caine and brendan fraser .",positive,160,NA,NA
"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",positive,161,NA,NA
stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens .,positive,162,NA,NA
a solidly seaworthy chiller .,positive,163,NA,NA
"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it's a welcome return to the roots of a genre that should depend on surprises .",positive,165,NA,NA
"there's enough science to make it count as educational , and enough beauty to make it unforgettable .",positive,167,NA,NA
makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran's borderlands .,positive,169,NA,NA
"for a good chunk of its running time , trapped is an effective and claustrophobic thriller .",positive,170,NA,NA
most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness .,positive,171,NA,NA
nair does capture the complexity of a big family and its trials and tribulations . . .,positive,172,NA,NA
"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going .",positive,173,NA,NA
rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie .,positive,174,NA,NA
ranks among willams' best screen work .,positive,175,NA,NA
engagingly captures the maddening and magnetic ebb and flow of friendship .,positive,176,NA,NA
an experience so engrossing it is like being buried in a new environment .,positive,177,NA,NA
"it's traditional moviemaking all the way , but it's done with a lot of careful period attention as well as some very welcome wit .",positive,178,NA,NA
thoroughly enjoyable .,positive,179,NA,NA
"a droll , well-acted , character-driven comedy with unexpected deposits of feeling .",positive,181,NA,NA
this is simply the most fun you'll ever have with a documentary !,positive,182,NA,NA
a very funny movie .,positive,183,NA,NA
"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting .",positive,184,NA,NA
a cop story that understands the medium amazingly well .,positive,185,NA,NA
"one of the best , most understated performances of [jack nicholson's] career .",positive,186,NA,NA
"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway .",positive,187,NA,NA
those outside show business will enjoy a close look at people they don't really want to know .,positive,188,NA,NA
the kind of nervous film that will either give you a mild headache or exhilarate you .,positive,189,NA,NA
"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .",positive,191,NA,NA
a fascinating and fun film .,positive,192,NA,NA
"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .",positive,193,NA,NA
"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .",positive,194,NA,NA
i admired this work a lot .,positive,195,NA,NA
"whether you're moved and love it , or bored or frustrated by the film , you'll still feel something .",positive,196,NA,NA
. . . there are enough moments of heartbreaking honesty to keep one glued to the screen .,positive,197,NA,NA
"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back .",positive,198,NA,NA
"a smart , sweet and playful romantic comedy .",positive,199,NA,NA
australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .,positive,200,NA,NA
"solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts .",positive,202,NA,NA
"as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting .",positive,203,NA,NA
it is interesting and fun to see goodall and her chimpanzees on the bigger-than-life screen .,positive,204,NA,NA
it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke .,positive,205,NA,NA
"a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .",positive,206,NA,NA
"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",positive,207,NA,NA
"with the film's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",positive,209,NA,NA
at its best early on as it plays the culture clashes between the brothers .,positive,211,NA,NA
"[a] rare , beautiful film .",positive,212,NA,NA
you walk out of the good girl with mixed emotions � disapproval of justine combined with a tinge of understanding for her actions .,positive,215,NA,NA
tsai ming-liang has taken his trademark style and refined it to a crystalline point .,positive,216,NA,NA
"purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that u . s . foreign policy has played in the rise of castro .",positive,217,NA,NA
"now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism .",positive,218,NA,NA
we get some truly unique character studies and a cross-section of americana that hollywood couldn't possibly fictionalize and be believed .,positive,219,NA,NA
"though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial .",positive,220,NA,NA
the dangerous lives of altar boys' take on adolescence feels painfully true .,positive,222,NA,NA
moore's performance impresses almost as much as her work with haynes in 1995's safe .,positive,223,NA,NA
"visits spy-movie territory like a novel you can't put down , examines a footnote to history seldom brought to light on the screen , and keeps you guessing from first frame to last .",positive,224,NA,NA
"an absorbing , slice-of-depression life that touches nerves and rings true .",positive,225,NA,NA
the result is something quite fresh and delightful .,positive,227,NA,NA
all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure .,positive,228,NA,NA
this is one of polanski's best films .,positive,230,NA,NA
"day is not a great bond movie , but it is a good bond movie , which still makes it much better than your typical bond knock-offs .",positive,231,NA,NA
polished korean political-action film is just as good -- and bad -- as hollywood action epics . is this progress ?,positive,232,NA,NA
"elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .",positive,233,NA,NA
denis and co-writer michele petin's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing . lead provocatuers testud and parmentier give superlative performances,positive,234,NA,NA
"an absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood .",positive,235,NA,NA
"i admired it , particularly that unexpected downer of an ending .",positive,236,NA,NA
"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",positive,237,NA,NA
remarkably accessible and affecting .,positive,238,NA,NA
"never mind whether you buy the stuff about barris being a cia hit man . the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive .",positive,239,NA,NA
behan himself knew how to spin a tale and one can't help but think he'd appreciate this attempt to turn his life into art .,positive,241,NA,NA
"jir� hubac's script is a gem . his characters are engaging , intimate and the dialogue is realistic and greatly moving . the scope of the silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality . .",positive,242,NA,NA
"moore's complex and important film is also , believe it or not , immensely entertaining , a david and goliath story that's still very much playing itself out .",positive,243,NA,NA
"the additional storyline is interesting and entertaining , but it doesn't have the same magical quality as the beginning of the story . i like the new footage and still love the old stuff .",positive,244,NA,NA
"though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium .",positive,245,NA,NA
you might not buy the ideas . but you'll definitely want the t-shirt .,positive,246,NA,NA
provides an intriguing window into the imagination and hermetic analysis of todd solondz .,positive,247,NA,NA
presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it .,positive,249,NA,NA
"just what makes us happy , anyway ?",positive,250,NA,NA
one of the greatest romantic comedies of the past decade .,positive,252,NA,NA
"you wouldn't call the good girl a date movie ( an anti-date movie is more like it ) , but when it's good , it's good and horrid .",positive,253,NA,NA
"benefits from a strong performance from zhao , but it's dong jie's face you remember at the end .",positive,254,NA,NA
this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .,positive,255,NA,NA
"the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun .",positive,256,NA,NA
it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes .,positive,257,NA,NA
"the movie has a soft , percolating magic , a deadpan suspense .",positive,258,NA,NA
"using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead .",positive,260,NA,NA
. . . understands that a generation defines its music as much as the music defines a generation .,positive,261,NA,NA
"as a witness to several greek-american weddings -- but , happily , a victim of none -- i can testify to the comparative accuracy of ms . vardalos' memories and insights .",positive,263,NA,NA
"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video .",positive,266,NA,NA
"an incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy",positive,267,NA,NA
"all the performances are top notch and , once you get through the accents , all or nothing becomes an emotional , though still positive , wrench of a sit .",positive,268,NA,NA
""" its successes are also tempered with elements which prove the direct antithesis of what it gets right . """,positive,269,NA,NA
it's solid and affecting and exactly as thought-provoking as it should be .,positive,270,NA,NA
this is such a dazzlingly self-assured directorial debut that it's hard to know what to praise first .,positive,271,NA,NA
"parker holds true to wilde's own vision of a pure comedy with absolutely no meaning , and no desire to be anything but a polished , sophisticated entertainment that is in love with its own cleverness .",positive,272,NA,NA
m�nch's genuine insight makes the film's occasional overindulgence forgivable .,positive,273,NA,NA
"ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis .",positive,275,NA,NA
"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime .",positive,277,NA,NA
a wonderful character-based comedy .,positive,279,NA,NA
"it would be interesting to hear from the other side , but in talk to her , the women are down for the count .",positive,280,NA,NA
an endearingly offbeat romantic comedy with a great meet-cute gimmick .,positive,281,NA,NA
"the unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right .",positive,282,NA,NA
it's almost impossible not to be moved by the movie's depiction of sacrifice and its stirring epilogue in post-soviet russia .,positive,284,NA,NA
"the principals in this cast are all fine , but bishop and stevenson are standouts .",positive,287,NA,NA
"it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment .",positive,288,NA,NA
what's most striking about this largely celebratory film . . . is the sense of isolation that permeates these bastions of individuality in an ikea world .,positive,289,NA,NA
". . . if you're in a mind set for goofy comedy , the troopers will entertain with their gross outs , bawdy comedy and head games .",positive,290,NA,NA
"somewhat blurred , but kinnear's performance is razor sharp .",positive,291,NA,NA
"as a director , mr . ratliff wisely rejects the temptation to make fun of his subjects .",positive,292,NA,NA
"for anyone who remembers the '60s or is interested in one man's response to stroke , ram dass : fierce grace is worth seeking out .",positive,293,NA,NA
"intriguing and beautiful film , but those of you who read the book are likely to be disappointed .",positive,294,NA,NA
"the new guy does have a heart . now , if it only had a brain .",positive,295,NA,NA
a savvy exploration of paranoia and insecurity in america's culture of fear .,positive,296,NA,NA
"the film's greatest asset is how much it's not just another connect-the-dots , spy-on-the-run picture .",positive,298,NA,NA
this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences .,positive,299,NA,NA
it's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental .,positive,300,NA,NA
"morton is , as usual , brilliant .",positive,301,NA,NA
"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .",positive,302,NA,NA
"i don't know precisely what to make of steven soderbergh's full frontal , though that didn't stop me from enjoying much of it .",positive,303,NA,NA
the tug of war that ensues is as much a snapshot of modern china in microcosm as it is a crash course in movie mythology .,positive,304,NA,NA
"nearly surreal , dabbling in french , this is no simple movie , and you'll be taking a risk if you choose to see it . i enjoyed the ride ( bumps and all ) , creamy depth , and ultimate theme .",positive,305,NA,NA
"roman coppola may never become the filmmaker his dad was , but heck � few filmmakers will . but based on cq , i'll certainly be keeping an eye out for his next project .",positive,308,NA,NA
"an amusing , breezily apolitical documentary about life on the campaign trail .",positive,309,NA,NA
"finally , a genre movie that delivers -- in a couple of genres , no less .",positive,311,NA,NA
"it's not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality , and to visit with some of the people who were able to make an impact in the theater world .",positive,312,NA,NA
"spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects . he just wants them to be part of the action , the wallpaper of his chosen reality . here , thankfully , they are .",positive,313,NA,NA
"post 9/11 the philosophical message of "" personal freedom first "" might not be as palatable as intended .",positive,314,NA,NA
this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .,positive,316,NA,NA
"easier to respect than enthuse over , andersson's rigorous personal vision is not only distanced but distancing .",positive,317,NA,NA
". . . tunney is allowed to build an uncommonly human character , an almost real-live girl complete with trouble and hope .",positive,319,NA,NA
an intelligent fiction about learning through cultural clash .,positive,323,NA,NA
a remarkable 179-minute meditation on the nature of revolution .,positive,325,NA,NA
an involving true story of a chinese actor who takes up drugs and winds up in an institution--acted mostly by the actual people involved .,positive,327,NA,NA
hands down the year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,positive,328,NA,NA
it's a terrific american sports movie and dennis quaid is its athletic heart .,positive,329,NA,NA
"this is such a high-energy movie where the drumming and the marching are so excellent , who cares if the story's a little weak .",positive,330,NA,NA
"compelling revenge thriller , though somewhat weakened by a miscast leading lady .",positive,331,NA,NA
"it's amazingly perceptive in its subtle , supportive but unsentimental look at the marks family .",positive,332,NA,NA
"a whole lot foul , freaky and funny .",positive,333,NA,NA
family fare .,positive,334,NA,NA
attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .,positive,335,NA,NA
"the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain .",positive,337,NA,NA
"foster nails the role , giving a tight , focused performance illuminated by shards of feeling .",positive,338,NA,NA
is office work really as alienating as 'bartleby' so effectively makes it ?,positive,340,NA,NA
farrell . . . thankfully manages to outshine the role and successfully plays the foil to willis's world-weary colonel .,positive,341,NA,NA
"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film's tart , sugar-free wit .",positive,342,NA,NA
bennett's dramatization of her personal descent into post-breakup perdition has a morbid appeal that's tough to shake .,positive,343,NA,NA
an intriguing and entertaining introduction to johnson .,positive,344,NA,NA
a model of what films like this should be like .,positive,346,NA,NA
"as weber and weissman demonstrate with such insight and celebratory verve , the cockettes weren't as much about gender , sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel , connect and create .",positive,347,NA,NA
"yeah , these flicks are just that damn good . isn't it great ?",positive,348,NA,NA
an unbelievably fun film just a leading man away from perfection .,positive,349,NA,NA
"over-the-top and a bit ostentatious , this is a movie that's got oodles of style and substance .",positive,350,NA,NA
nicely serves as an examination of a society in transition .,positive,352,NA,NA
"boisterous , heartfelt comedy .",positive,353,NA,NA
"a tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our hearts for acceptance within the family circle .",positive,354,NA,NA
