"","id","country","publication_date","source","source_type","headline","headline_mt","m_fr_eco","m_fr_lab","m_fr_wel","m_fr_sec"
"50",50,"UK","2015-09-20","The Guardian","Print","UN warns European unity at risk as borders close to refugees;
Central European neighbours turn ugly as thousands fleeing war are shunted
between Croatia, Slovenia and Hungary","UN warns European unity at risk as borders close to refugees;
Central European neighbours turn ugly as thousands fleeing war are shunted
between Croatia, Slovenia and Hungary",0,0,0,0
"51",51,"UK","2014-01-08","telegraph.co.uk","Online","First Romanian to enter UK under new EU rules attacked ex girlfriend;
Victor Spirescu says he has turned his life around since being convicted of
attacking a former girlfriend in Romania","First Romanian to enter UK under new EU rules attacked ex girlfriend;
Victor Spirescu says he has turned his life around since being convicted of
attacking a former girlfriend in Romania",0,1,1,1
"52",52,"UK","2011-03-01","The Daily Telegraph","Print","'What would D H Lawrence make of blogging and tweeting?';
Notebook","'What would D H Lawrence make of blogging and tweeting?';
Notebook",0,0,0,0
"54",54,"UK","2017-12-29","Daily Mirror","Print","Passport colour has UK in pickle;
Madeuthink WHAT WE'RE ALL SAYING","Passport colour has UK in pickle;
Madeuthink WHAT WE'RE ALL SAYING",0,1,0,0
"55",55,"UK","2015-03-25","The Guardian","Print","Farage calls anti-Ukip protesters who forced him out of pub 'scum';
Protesters in fancy dress invaded pub in Kent where Ukip leader was having lunch
with his family before pursuing him outside","Farage calls anti-Ukip protesters who forced him out of pub 'scum';
Protesters in fancy dress invaded pub in Kent where Ukip leader was having lunch
with his family before pursuing him outside",1,0,1,0
"56",56,"UK","2017-08-02","mirror.co.uk","Online","Construction work on 'Trump wall' begins after U.S. President proposes border
fence with Mexico;
The U.S. will waive environmental rules so extra barriers can be built to bar
illegal immigrants from crossing the border with Mexico near San Diego, the
Department of Homeland Security said","Construction work on 'Trump wall' begins after U.S. President proposes border
fence with Mexico;
The U.S. will waive environmental rules so extra barriers can be built to bar
illegal immigrants from crossing the border with Mexico near San Diego, the
Department of Homeland Security said",1,0,0,1
"59",59,"UK","2016-01-31","The Guardian","Print","Senior Tory urges Eurosceptics to show integrity and vote to leave EU;
Liam Fox steps up pressure on figures including Michael Gove as PM holds talks
with European council president","Senior Tory urges Eurosceptics to show integrity and vote to leave EU;
Liam Fox steps up pressure on figures including Michael Gove as PM holds talks
with European council president",0,0,1,1
"61",61,"UK","2015-07-17","The Guardian","Print","Tim Farron outlines 'optimistic direction' for Lib Dems;
New Liberal Democrat leader refuses to be drawn on where he resides on the
left-to-right political spectrum and says party must pick and choose its issues","Tim Farron outlines 'optimistic direction' for Lib Dems;
New Liberal Democrat leader refuses to be drawn on where he resides on the
left-to-right political spectrum and says party must pick and choose its issues",0,0,0,0
"67",67,"UK","2006-09-05","The Guardian","Print","Reply: Letters and emails: Britains appeal to migrant workers","Reply: Letters and emails: Britains appeal to migrant workers",0,1,1,1
"70",70,"UK","2013-11-17","telegraph.co.uk","Online","Roger Daltrey: 'I will never forgive Labour for their immigration policies';
Roger Daltrey, The Who frontman, says that he is angry that Labour's mass
immigration policies have taken jobs from his friends","Roger Daltrey: 'I will never forgive Labour for their immigration policies';
Roger Daltrey, The Who frontman, says that he is angry that Labour's mass
immigration policies have taken jobs from his friends",0,1,0,0
"71",71,"UK","2000-12-01","The Daily Telegraph","Print","Prodi warns of EU deadlock","Prodi warns of EU deadlock",0,0,0,0
"79",79,"UK","2014-09-06","mirror.co.uk","Online","Recap: Riot breaks out at immigration centre after death of detainee;
Emergency services are currently at Morton Hall immigration centre in
Lincolnshire after clashes broke out today","Recap: Riot breaks out at immigration centre after death of detainee;
Emergency services are currently at Morton Hall immigration centre in
Lincolnshire after clashes broke out today",0,0,0,0
"82",82,"UK","2014-03-18","telegraph.co.uk","Online","A Budget to support the strongest growth in seven years;
Chief executive of specialist recruiter Hays reveals hopes for a Budget that
will support SMEs and boost STEM education","A Budget to support the strongest growth in seven years;
Chief executive of specialist recruiter Hays reveals hopes for a Budget that
will support SMEs and boost STEM education",1,1,0,0
"86",86,"UK","2007-06-19","The Guardian","Print","Reply Letters and emails: Cherry-picking global jobs","Reply Letters and emails: Cherry-picking global jobs",1,1,1,1
"87",87,"UK","2004-09-29","The Guardian","Print","International: French poll shows depth of hostility to Turkey: Fears of mass
immigration if Ankara allowed to join EU","International: French poll shows depth of hostility to Turkey: Fears of mass
immigration if Ankara allowed to join EU",0,1,0,0
"88",88,"UK","2010-09-27","The Guardian","Print","Millions paid in compensation to detained migrants: Lawyers accuse Home Office
over torture victims 'Epidemic of mistreatment' leading to claims in courts","Millions paid in compensation to detained migrants: Lawyers accuse Home Office
over torture victims 'Epidemic of mistreatment' leading to claims in courts",1,0,1,0
"90",90,"UK","2014-10-24","Daily Mirror","Print","BRUSSELS TELLS UK: STUMP UP AN EXTRA £1.7BN;
Cameron's EU promises in ruins as France gets a £790m rebate","BRUSSELS TELLS UK: STUMP UP AN EXTRA £1.7BN;
Cameron's EU promises in ruins as France gets a £790m rebate",0,0,0,0
"91",91,"UK","2006-09-06","The Daily Telegraph","Print","IMMIGRATION CBI boss says hold fire on EU entrants","IMMIGRATION CBI boss says hold fire on EU entrants",1,1,0,1
"95",95,"UK","2007-12-06","The Daily Telegraph","Print","Jesus, Mary and Joseph were indeed asylum-seekers","Jesus, Mary and Joseph were indeed asylum-seekers",0,0,0,0
"96",96,"UK","2015-08-27","The Guardian","Print","Yoga in Palestine: the search for inner peace amid ongoing conflict;
To cope with the mental stress of life under political stalemate, Palestinians
are increasingly turning to yoga, in refugee camps, villages and citiesParkour,
dressing up and playing with lion cubs: how Palestinians relax","Yoga in Palestine: the search for inner peace amid ongoing conflict;
To cope with the mental stress of life under political stalemate, Palestinians
are increasingly turning to yoga, in refugee camps, villages and citiesParkour,
dressing up and playing with lion cubs: how Palestinians relax",0,0,1,0
"105",105,"UK","2015-06-11","telegraph.co.uk","Online","David Cameron gaining further support on the EU from all Danish opposition
parties;
We will support the British Prime Minister if we win next week's election,
Danish political parties vying for power say","David Cameron gaining further support on the EU from all Danish opposition
parties;
We will support the British Prime Minister if we win next week's election,
Danish political parties vying for power say",0,0,1,0
"109",109,"UK","2016-01-25","telegraph.co.uk","Online","Islamic State setting up terror training camps in Europe, police agency warns;
The terrorist group is planning more mass strikes on the continent and could
recruit vulnerable refugees to carry out attacks, Europol report said","Islamic State setting up terror training camps in Europe, police agency warns;
The terrorist group is planning more mass strikes on the continent and could
recruit vulnerable refugees to carry out attacks, Europol report said",0,0,0,1
"112",112,"UK","2017-05-17","Metro","Print","Academic warns of 'catastrophic' Brexit","Academic warns of 'catastrophic' Brexit",0,0,0,0
"113",113,"UK","2016-06-21","The Guardian","Print","Turnbull rejects New Zealand offer to take 150 refugees from detention;
The prime minister says settlement in New Zealand would be used by people
smugglers as a 'marketing opportunity'","Turnbull rejects New Zealand offer to take 150 refugees from detention;
The prime minister says settlement in New Zealand would be used by people
smugglers as a 'marketing opportunity'",0,0,0,1
"114",114,"UK","2016-09-13","telegraph.co.uk","Online","Ninety per cent of migrants and refugees crossing Sahara in hope of reaching
Europe have witnessed death, torture and beatings","Ninety per cent of migrants and refugees crossing Sahara in hope of reaching
Europe have witnessed death, torture and beatings",0,0,0,1
"117",117,"UK","2016-03-18","mirror.co.uk","Online","Refugees arriving in EU after Monday will be sent back to Turkey in
controversial plan;
The 'one in, one out' scheme is an attempt to target the migration crisis with
the intention of discouraging perilous boat crossings","Refugees arriving in EU after Monday will be sent back to Turkey in
controversial plan;
The 'one in, one out' scheme is an attempt to target the migration crisis with
the intention of discouraging perilous boat crossings",1,0,0,0
"121",121,"UK","2016-12-18","telegraph.co.uk","Online","Communities Secretary Sajid Javid drawn to British values loyalty pledge","Communities Secretary Sajid Javid drawn to British values loyalty pledge",0,0,0,1
"126",126,"UK","2017-11-02","telegraph.co.uk","Online","Racist 'Make Edison Great Again' flyers target cricket in New Jersey","Racist 'Make Edison Great Again' flyers target cricket in New Jersey",0,0,0,1
"127",127,"UK","2015-08-11","mirror.co.uk","Online","Calais crisis: British girl who visited 'jungle' refugee camp shares
heart-wrenching Facebook post and pictures;
Jaz O' Hara visited the notorious immigrant camp in France to meet the people
behind the headlines","Calais crisis: British girl who visited 'jungle' refugee camp shares
heart-wrenching Facebook post and pictures;
Jaz O' Hara visited the notorious immigrant camp in France to meet the people
behind the headlines",0,0,1,0
"128",128,"UK","2017-04-11","The Daily Telegraph","Print","Lorry suspect boasted of crime on WhatsApp;
Man accused of Stockholm killings exchanged messages with Isil supporters after
attack","Lorry suspect boasted of crime on WhatsApp;
Man accused of Stockholm killings exchanged messages with Isil supporters after
attack",0,0,0,1
"129",129,"UK","2001-05-18","The Daily Telegraph","Print","Straw's policy on asylum unlawful, rules appeal court","Straw's policy on asylum unlawful, rules appeal court",0,0,0,0
"131",131,"UK","2016-07-23","Daily Mirror","Print","RUN FOR YOUR LIVES;
MUNICH MASSACRE: HELL AT THE MALL Evil McDonald's gunman 'shot innocent children
as they ate'","RUN FOR YOUR LIVES;
MUNICH MASSACRE: HELL AT THE MALL Evil McDonald's gunman 'shot innocent children
as they ate'",0,0,0,1
"134",134,"UK","2007-12-05","The Daily Telegraph","Print","New points scheme for migrants to fast track high-fliers","New points scheme for migrants to fast track high-fliers",0,1,0,1
"140",140,"UK","2002-05-14","The Daily Telegraph","Print","Australia says sorry to war child migrants","Australia says sorry to war child migrants",1,0,1,0
"141",141,"UK","2017-12-05","The Daily Telegraph","Print","UK professionals have mountain to climb after Brexit","UK professionals have mountain to climb after Brexit",1,1,0,0
"144",144,"UK","2016-06-21","telegraph.co.uk","Online","Mexican flag raised at Donald Trump's golf course","Mexican flag raised at Donald Trump's golf course",0,0,0,1
"149",149,"UK","2016-02-12","telegraph.co.uk","Online","Greece handed three-month ultimatum to control migrant influx;
Brussels ministers increase pressure on the country by ordering it to remedy
deficiencies in its border controls","Greece handed three-month ultimatum to control migrant influx;
Brussels ministers increase pressure on the country by ordering it to remedy
deficiencies in its border controls",1,0,1,1
"150",150,"UK","2016-01-02","mirror.co.uk","Online","Taliban kill 12-year-old in deadly New Year's Day suicide bomb attack on French
restaurant;
The boy was killed in the terrorist attack on a restaurant still frequented by
many foreigners","Taliban kill 12-year-old in deadly New Year's Day suicide bomb attack on French
restaurant;
The boy was killed in the terrorist attack on a restaurant still frequented by
many foreigners",0,1,0,0
"156",156,"UK","2016-08-22","The Guardian","Print","The claim that locking asylum seekers up in Nauru and PNG saves lives is bogus;","The claim that locking asylum seekers up in Nauru and PNG saves lives is bogus;",1,1,0,1
"160",160,"UK","2016-10-26","telegraph.co.uk","Online","'Have you no compassion?' Jeremy Paxman tackles Ukip leadership contender
Suzanne Evans after she backs physical checks on child migrants","'Have you no compassion?' Jeremy Paxman tackles Ukip leadership contender
Suzanne Evans after she backs physical checks on child migrants",0,0,0,1
"167",167,"UK","2013-08-08","Daily Mirror","Print","Italy to take in migrants;
AROUND THE WORLD","Italy to take in migrants;
AROUND THE WORLD",0,0,0,0
"173",173,"UK","2016-02-02","mirror.co.uk","Online","Horrifying video shows moment migrant men 'attack two German pensioners who
stood up for a woman';
The migrants, who appear to be Arabic or Eastern European, are seen grabbing the
men and shouting abuse at them. One of the German men is grasped by the throat","Horrifying video shows moment migrant men 'attack two German pensioners who
stood up for a woman';
The migrants, who appear to be Arabic or Eastern European, are seen grabbing the
men and shouting abuse at them. One of the German men is grasped by the throat",0,0,0,1
"176",176,"UK","2015-09-21","Daily Mirror","Print","Last train to hope;
Refugees in mad scramble to get on board for a new life in Europe","Last train to hope;
Refugees in mad scramble to get on board for a new life in Europe",0,0,0,1
"177",177,"UK","2014-02-11","The Daily Telegraph","Print","Salmond 'not honest' about border controls;
Salmond must 'come dean' on border controls","Salmond 'not honest' about border controls;
Salmond must 'come dean' on border controls",0,1,1,0
"178",178,"UK","2005-10-01","The Daily Telegraph","Print","'Iron Lady' wants to kick out foreign petty crooks","'Iron Lady' wants to kick out foreign petty crooks",0,0,0,1
"187",187,"UK","2014-01-20","The Daily Telegraph","Print","Labour's basic tests for welfare claimants;
Coalition split over depth of benefits cuts","Labour's basic tests for welfare claimants;
Coalition split over depth of benefits cuts",0,1,1,0
"188",188,"UK","2016-01-20","The Guardian","Print","Plan to change rule for refugees raises stakes in UK EU referendum;
Formal scrapping of Dublin regulation,- which obliges refugees to claim asylum
in first country they arrive in, could leave UK more open to migration flows","Plan to change rule for refugees raises stakes in UK EU referendum;
Formal scrapping of Dublin regulation,- which obliges refugees to claim asylum
in first country they arrive in, could leave UK more open to migration flows",1,0,0,0
"189",189,"UK","2016-02-01","The Guardian","Print","Economists to Cameron: refugee crisis response 'morally unacceptable';
In open letter to PM, more than 120 leading economists including former UN and
World Bank officials say UK can do far more","Economists to Cameron: refugee crisis response 'morally unacceptable';
In open letter to PM, more than 120 leading economists including former UN and
World Bank officials say UK can do far more",1,1,0,0
"192",192,"UK","2016-04-15","mirror.co.uk","Online","Nearly 6,000 migrants land in Italy in just four days, International
Organization for Migration reveals;
The surge from Libya follows a crackdown on the migrant route between Turkey and
Greece","Nearly 6,000 migrants land in Italy in just four days, International
Organization for Migration reveals;
The surge from Libya follows a crackdown on the migrant route between Turkey and
Greece",0,1,0,1
"196",196,"UK","2009-12-30","Daily Mirror","Print","MRS T: LET IN WHITES ONLY;
SECRET PAPERS SHOW ANTI-ASIAN BIAS","MRS T: LET IN WHITES ONLY;
SECRET PAPERS SHOW ANTI-ASIAN BIAS",0,0,1,0
"211",211,"UK","2016-06-25","The Daily Telegraph","Print","Birth of a new Britain;
Shock vote to leave Europe pushes Prime Minister to resign ; Boris reaches out
to Remain supporters with plea for unity ; Johnson and Gove prepare to head
'Brexit government' ; Obama stands by his 'back of the queue' comments as birth
of new Britain begins","Birth of a new Britain;
Shock vote to leave Europe pushes Prime Minister to resign ; Boris reaches out
to Remain supporters with plea for unity ; Johnson and Gove prepare to head
'Brexit government' ; Obama stands by his 'back of the queue' comments as birth
of new Britain begins",0,0,0,0
"215",215,"UK","2015-10-09","The Guardian","Print","A Tory civil war is brewing, with Europe as the battlefield;
Cameron's opponents are many, and they're biding their time - heaping praise on
his EU renegotiations but strangling him with impossible demands","A Tory civil war is brewing, with Europe as the battlefield;
Cameron's opponents are many, and they're biding their time - heaping praise on
his EU renegotiations but strangling him with impossible demands",0,0,0,0
"216",216,"UK","2002-04-09","Daily Mirror","Print","BRIDE'S TEARS AS GARDAI RAID WEDDING","BRIDE'S TEARS AS GARDAI RAID WEDDING",0,0,0,1
"217",217,"UK","2017-01-18","telegraph.co.uk","Online","Refugees tortured and raped in squalid desert camps, arrest of Somali 'sadist'
reveals","Refugees tortured and raped in squalid desert camps, arrest of Somali 'sadist'
reveals",0,0,0,1
"221",221,"UK","2017-01-30","telegraph.co.uk","Online","Donald Trump's refugee ban will make the world 'less secure,' warns Italian
minister","Donald Trump's refugee ban will make the world 'less secure,' warns Italian
minister",0,0,1,0
"223",223,"UK","2014-12-16","Metro","Print","Miliband pledges to tackle those exploiting migrants","Miliband pledges to tackle those exploiting migrants",0,1,0,0
"227",227,"UK","2012-10-04","telegraph.co.uk","Online","One-in-20 parents challenge school admissions rulings;
More than one-in-20 parents attempted to force their children's way into popular
primary schools last year amid rising competition for the most sought-after
places.","One-in-20 parents challenge school admissions rulings;
More than one-in-20 parents attempted to force their children's way into popular
primary schools last year amid rising competition for the most sought-after
places.",1,0,1,0
"231",231,"UK","2016-05-06","telegraph.co.uk","Online","German interest in cricket surges thanks to talented refugee players","German interest in cricket surges thanks to talented refugee players",0,1,1,0
"233",233,"UK","2016-06-07","telegraph.co.uk","Online","Nine-month-old migrant baby taken into care by Italian couple after being
orphaned in Mediterranean crossing","Nine-month-old migrant baby taken into care by Italian couple after being
orphaned in Mediterranean crossing",0,0,0,1
"234",234,"UK","2017-07-07","The Guardian","Print","War and violence drive 80% of people fleeing to Europe by sea, not economics;
Report challenges economic migrant myth, revealing that most of those making
perilous sea crossing were forced from their homes by persecution and fear","War and violence drive 80% of people fleeing to Europe by sea, not economics;
Report challenges economic migrant myth, revealing that most of those making
perilous sea crossing were forced from their homes by persecution and fear",0,1,0,1
"237",237,"UK","2014-11-28","Daily Mirror","Print","WARSAW PACKED;
SCANDAL OF CHEAP FOREIGN STAFF Hundreds of Polish workers bussed in to Next site
in an area of high unemployment EXCLUSIVE","WARSAW PACKED;
SCANDAL OF CHEAP FOREIGN STAFF Hundreds of Polish workers bussed in to Next site
in an area of high unemployment EXCLUSIVE",1,1,0,0
"238",238,"UK","2010-02-12","The Daily Telegraph","Print","Labour's biggest legacy comes from encouragement of large-scale immigration;
Letters to the Editor","Labour's biggest legacy comes from encouragement of large-scale immigration;
Letters to the Editor",0,0,0,0
"239",239,"UK","2009-05-14","The Guardian","Print","National: MPs demand action on trafficking 'slave trade'","National: MPs demand action on trafficking 'slave trade'",0,1,0,1
"246",246,"UK","2016-07-07","telegraph.co.uk","Online","Nigerian refugee who fled Boko Haram beaten to death in alleged racist attack in
Italy","Nigerian refugee who fled Boko Haram beaten to death in alleged racist attack in
Italy",0,1,0,1
"247",247,"UK","2016-12-26","The Guardian","Print","Our secret weapon against the populist right in 2017 is hope;
Political misery stands before us, but there is cause for optimism. Now is the
time to ask for more","Our secret weapon against the populist right in 2017 is hope;
Political misery stands before us, but there is cause for optimism. Now is the
time to ask for more",0,0,0,0
"248",248,"UK","2012-12-19","The Daily Telegraph","Print","Immigrants should not be made scapegoats, says Blair","Immigrants should not be made scapegoats, says Blair",0,0,1,1
"251",251,"UK","2016-06-24","The Guardian","Print","Young remain voters came out in force, but were outgunned;
Analysis by the Guardian shows the higher median age in an area the higher the
turnout - meaning larger numbers of older, leave voters got their way","Young remain voters came out in force, but were outgunned;
Analysis by the Guardian shows the higher median age in an area the higher the
turnout - meaning larger numbers of older, leave voters got their way",0,0,0,0
"252",252,"UK","2015-04-27","Daily Mirror","Print","Migrant ship skipper to be grilled on trafficking barons","Migrant ship skipper to be grilled on trafficking barons",0,0,0,1
"253",253,"UK","2016-10-10","The Daily Telegraph","Print","Immigration controls at Irish border to be strengthened","Immigration controls at Irish border to be strengthened",0,0,0,1
"254",254,"UK","2013-09-03","Daily Mirror","Print","MOANING VINNIE;
Jones rant about England's weather and immigrants","MOANING VINNIE;
Jones rant about England's weather and immigrants",0,1,0,0
"259",259,"UK","2015-11-24","The Guardian","Print","Guardian and Observer charity appeal 2015: refugees;
This is the crisis of our times, and how we respond to it is a test of our
values, our spirit, our ingenuity, our generosity· Click here to donate to our
appeal","Guardian and Observer charity appeal 2015: refugees;
This is the crisis of our times, and how we respond to it is a test of our
values, our spirit, our ingenuity, our generosity· Click here to donate to our
appeal",0,0,0,1
"261",261,"UK","2017-01-29","telegraph.co.uk","Online","Everything you need to know about Donald Trump's 'Muslim ban'","Everything you need to know about Donald Trump's 'Muslim ban'",0,0,0,1
"262",262,"UK","2015-08-29","telegraph.co.uk","Online","Migrant deaths: UN Secretary-General appeals for European governments to act;
Ban Ki-moon says governments must step up response to migrant crisist","Migrant deaths: UN Secretary-General appeals for European governments to act;
Ban Ki-moon says governments must step up response to migrant crisist",0,0,0,0
"263",263,"UK","2016-09-18","telegraph.co.uk","Online","Theresa May to tell world leaders that Britain has 'a right' to protect its
borders","Theresa May to tell world leaders that Britain has 'a right' to protect its
borders",1,1,0,1
"268",268,"UK","2016-09-23","telegraph.co.uk","Online","Theresa May aims to kill off Ukip by giving it everything it wants","Theresa May aims to kill off Ukip by giving it everything it wants",0,0,0,0
"270",270,"UK","2010-06-26","Daily Mirror","Print","MIGRANT CAP ROW;
MINISTERS REBEL AT SECRET MEETING","MIGRANT CAP ROW;
MINISTERS REBEL AT SECRET MEETING",1,0,0,1
"271",271,"UK","2005-03-17","Daily Mirror","Print","MIRROR WORKS: VICTORY FOR KEY SKILLS","MIRROR WORKS: VICTORY FOR KEY SKILLS",0,1,0,0
"277",277,"UK","2017-11-01","The Guardian","Print","We must end the terror double standards;
The White House is pushing a position of collective guilt that is completely
unlike its reaction from just weeks ago after the Las Vegas shooting","We must end the terror double standards;
The White House is pushing a position of collective guilt that is completely
unlike its reaction from just weeks ago after the Las Vegas shooting",0,0,0,1
"278",278,"UK","2013-02-13","telegraph.co.uk","Online","State of the Union 2013: Marco Rubio accuses Obama of 'smothering' middle class;","State of the Union 2013: Marco Rubio accuses Obama of 'smothering' middle class;",0,0,0,1
"281",281,"UK","2013-07-16","The Guardian","Print","Comment is free: In brief: The orangutan 'joke', and why racism is alive and
well in Italy","Comment is free: In brief: The orangutan 'joke', and why racism is alive and
well in Italy",0,1,0,1
"283",283,"UK","2016-03-09","The Guardian","Print","Canada doubles refugee target to 57,000 by the end of this year;
Minister says Canada will step up efforts take in refugees from around the
world, in addition to the 26,000 from Syria it has welcomed over the past three
months","Canada doubles refugee target to 57,000 by the end of this year;
Minister says Canada will step up efforts take in refugees from around the
world, in addition to the 26,000 from Syria it has welcomed over the past three
months",1,0,0,0
"286",286,"UK","2015-04-20","telegraph.co.uk","Online","The EU migrant crisis explained in 90 seconds;
Thousands of migrants are dying every month while trying to cross the
Mediterranean to Europe. Why are they fleeing and risking their lives on unsafe
boats?","The EU migrant crisis explained in 90 seconds;
Thousands of migrants are dying every month while trying to cross the
Mediterranean to Europe. Why are they fleeing and risking their lives on unsafe
boats?",0,0,0,0
"287",287,"UK","2006-08-19","The Daily Telegraph","Print","How drugs harm us","How drugs harm us",1,0,0,1
"295",295,"UK","2014-04-27","mirror.co.uk","Online","No poles required: UKIP anti-European Union billboard appears next to camping
advert in seriously bad placement;
This picture was taken of the unfortunate advertising placement of a Go Outdoors
poster in Edinburgh - next to Nigel Farage's party's controversial campaign","No poles required: UKIP anti-European Union billboard appears next to camping
advert in seriously bad placement;
This picture was taken of the unfortunate advertising placement of a Go Outdoors
poster in Edinburgh - next to Nigel Farage's party's controversial campaign",0,1,0,1
"296",296,"UK","2001-12-19","The Guardian","Print","War in Afghanistan: Inside Yemen: Violence dominates lawless province: Training
camps flourished during 1990s","War in Afghanistan: Inside Yemen: Violence dominates lawless province: Training
camps flourished during 1990s",0,1,0,1
