text,polarity,id,polarity_nb,polarity_svm,polarity_gpt
"ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here .",positive,155,positive,positive,2
"if you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .",positive,164,positive,positive,1
a well-made thriller with a certain level of intelligence and non-reactionary morality .,positive,166,positive,positive,1
"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand .",positive,168,positive,negative,2
"maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that bad .",positive,180,negative,negative,1
watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it .,positive,190,positive,positive,1
"without heavy-handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions .",positive,201,positive,positive,1
"narc may not get an 'a' for originality , but it wears its b-movie heritage like a badge of honor .",positive,208,negative,negative,1
"[drumline] is entertaining for what it does , and admirable for what it doesn't do .",positive,210,positive,negative,1
an unabashedly schmaltzy and thoroughly enjoyable true story .,positive,213,positive,positive,1
a thoughtful look at a painful incident that made headlines in 1995 .,positive,214,positive,positive,1
"daring , mesmerizing and exceedingly hard to forget .",positive,221,positive,positive,1
"mr . parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .",positive,226,positive,negative,1
despite its many infuriating flaws -- not the least of which is amy's self-absorbed personality -- amy's o's honesty will win you over .,positive,229,positive,negative,1
"a triumph of art direction over narrative , but what art direction !",positive,240,positive,negative,1
"windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live .",positive,248,negative,positive,1
"a thoughtful , moving piece that faces difficult issues with honesty and beauty .",positive,251,positive,positive,1
a well-made and often lovely depiction of the mysteries of friendship .,positive,259,positive,positive,1
the transporter is as lively and as fun as it is unapologetically dumb,positive,262,negative,positive,1
has it ever been possible to say that williams has truly inhabited a character ? it is now .,positive,264,negative,negative,1
"by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible -- which forces us to confront what's possible and what we might do to make it so .",positive,265,positive,negative,1
"thankfully , the film , which skirts that rapidly deteriorating line between fantasy and reality . . . takes a tongue-in-cheek attitude even as it pushes the croc hunter agenda .",positive,274,positive,positive,1
"if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite .",positive,276,positive,negative,1
"there are a few stabs at absurdist comedy . . . but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty .",positive,278,positive,positive,1
"it uses an old-time formula , it's not terribly original and it's rather messy -- but you just have to love the big , dumb , happy movie my big fat greek wedding .",positive,283,positive,negative,1
"who knows what exactly godard is on about in this film , but his words and images don't have to add up to mesmerize you .",positive,285,positive,positive,1
"the tone is balanced , reflective and reasonable .",positive,286,positive,positive,1
"legendary irish writer brendan behan's memoir , borstal boy , has been given a loving screen transferral .",positive,297,negative,negative,1
"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable .",positive,306,negative,negative,1
"asia authors herself as anna battista , an italian superstar and aspiring directress who just happens to be her own worst enemy .",positive,307,negative,negative,2
"high on melodrama . but it's emotionally engrossing , too , thanks to strong , credible performances from the whole cast .",positive,310,positive,positive,1
"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",positive,315,positive,positive,1
girls gone wild and gone civil again,positive,318,negative,negative,1
"while this film is not in the least surprising , it is still ultimately very satisfying . think of it as a sort of comfort food for the mind .",positive,320,positive,positive,1
"clever , brutal and strangely soulful movie .",positive,321,positive,positive,1
. . . always remains movingly genuine .,positive,322,positive,positive,1
will grab your children by the imagination and amaze them and amuse them .,positive,324,positive,positive,1
"those who would follow haneke on his creepy explorations . . . are rewarded by brutal , committed performances from huppert and magimel .",positive,326,positive,positive,1
"the diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time .",positive,336,negative,positive,1
"even if you can't pronounce "" gyro "" correctly , you'll appreciate much of vardalos' humor , which transcends ethnic boundaries .",positive,339,positive,positive,1
"as expected , sayles' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .",positive,345,positive,positive,1
. . . a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .,positive,351,positive,positive,1
absorbing character study by andr� turpin .,positive,356,positive,negative,1
"renner's performance as dahmer is unforgettable , deeply absorbing .",positive,358,positive,positive,1
energetic and boldly provocative .,positive,362,positive,positive,1
"if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you won't want to miss about a boy .",positive,370,negative,negative,1
"hey , who else needs a shower ?",positive,374,negative,negative,1
george clooney proves he's quite a talented director and sam rockwell shows us he's a world-class actor with confessions of a dangerous mind .,positive,380,positive,positive,1
"as green-guts monster movies go , it's a beaut .",positive,384,negative,negative,1
"as bundy , michael reilly burke ( octopus 2 : river of fear ) has just the right amount of charisma and menace .",positive,385,negative,negative,1
"ana is a vivid , vibrant individual and the movie's focus upon her makes it successful and accessible .",positive,387,positive,positive,1
bubba ho-tep is a wonderful film with a bravura lead performance by bruce campbell that doesn't deserve to leave the building until everyone is aware of it .,positive,391,positive,positive,1
bullock does a good job here of working against her natural likability .,positive,393,positive,negative,2
"the best movie of its kind since 'brazil . ' lucas , take notes . this is how you use special effects .",positive,396,negative,positive,1
kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed .,positive,399,positive,positive,1
"its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .",positive,401,positive,positive,1
"it's a humble effort , but spiced with wry humor and genuine pathos , especially between morgan and redgrave .",positive,406,positive,positive,1
"most impressive , though , is the film's open-ended finale that refuses to entirely close its characters' emotional wounds .",positive,411,positive,positive,1
an inspiring and heart-affecting film about the desperate attempts of vietnamese refugees living in u . s . relocation camps to keep their hopes alive in 1975 .,positive,422,positive,positive,1
there are moments it can be heart-rending in an honest and unaffected ( and gentle ) way .,positive,429,positive,positive,1
"stay clear of reminding yourself that it's a "" true story "" and you're likely to have one helluva time at the movies .",positive,430,negative,negative,1
"the story feels more like a serious read , filled with heavy doses of always enticing sayles dialogue .",positive,434,negative,negative,1
"lends itself to the narcotizing bland ( sinister , though not nearly so sinister as the biennial disney girl movie ) machinations of the biennial disney boy movie .",positive,446,negative,negative,2
disturbing and brilliant documentary .,positive,453,positive,positive,2
"sound the trumpets : for the first time since desperately seeking susan , madonna doesn't suck as an actress .",positive,471,negative,negative,1
one scarcely needs the subtitles to enjoy this colorful action farce .,positive,480,negative,positive,1
"elling really is about a couple of crazy guys , and it's therapeutic to laugh along with them .",positive,485,negative,negative,1
an irresistible combination of a rousing good story set on a truly grand scale .,positive,487,positive,positive,1
"exquisitely acted and masterfully if preciously interwoven� [the film] addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce .",positive,490,positive,positive,1
"almost every scene in this film is a gem that could stand alone , a perfectly realized observation of mood , behavior and intent .",positive,501,positive,positive,1
a psychologically rich and suspenseful moral thriller with a stellar performance by al pacino .,positive,502,positive,positive,1
the saturation bombing of reggio's images and glass' evocative music . . . ultimately leaves viewers with the task of divining meaning .,positive,509,positive,positive,2
for all its serious sense of purpose . . . [it] finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor .,positive,510,positive,positive,1
"this road movie gives you emotional whiplash , and you'll be glad you went along for the ride .",positive,512,positive,positive,1
"a lighthearted , feel-good film that embraces the time-honored truth that the most powerful thing in life is love .",positive,514,positive,positive,1
"daughter from danang is a film that should be seen by all , especially those who aren't aware of , or have forgotten about the unmentioned victims of war .",positive,516,positive,positive,1
. . . breathes surprising new life into the familiar by amalgamating genres and adding true human complexity to its not-so-stock characters .,positive,518,positive,positive,1
"' . . . both hokey and super-cool , and definitely not in a hurry , so sit back , relax and have a few laughs while the little ones get a fuzzy treat . '",positive,519,negative,negative,1
it's a count for our times .,positive,521,positive,positive,1
"for the first two-thirds of this sparklingly inventive and artful , always fast and furious tale , kids will go happily along for the ride .",positive,528,positive,positive,1
"in his debut as a film director , denzel washington delivers a lean and engaging work .",positive,533,positive,positive,1
"a gentle blend of present day testimonials , surviving footage of burstein and his family performing , historical archives , and telling stills .",positive,547,positive,positive,1
"the laser-projected paintings provide a spell-casting beauty , while russell and dreyfus are a romantic pairing of hearts , preciously exposed as history corners them .",positive,558,positive,positive,1
a historical epic with the courage of its convictions about both scope and detail .,positive,566,positive,positive,1
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .",positive,569,negative,negative,1
"a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined .",positive,574,positive,negative,1
"[director peter] jackson and his crew have so steeped themselves in the majesty of tolkien's writing that every frame produces new joys , whether you're a fan of the books or not .",positive,580,positive,positive,1
"an offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .",positive,584,positive,positive,1
this version incarnates the prophetic book in a way even its exacting author might admire .,positive,585,negative,negative,1
"sometimes , nothing satisfies like old-fashioned swashbuckling . and in this regard , on guard delivers .",positive,586,positive,positive,1
a carefully structured scream of consciousness that is tortured and unsettling--but unquestionably alive .,positive,592,negative,negative,2
"cute , funny , heartwarming digitally animated feature film with plenty of slapstick humor for the kids , lots of in-jokes for the adults and heart enough for everyone .",positive,594,positive,positive,1
don't expect any surprises in this checklist of teamwork cliches . . .,positive,628,negative,positive,2
a yarn that respects the marvel version without becoming ensnared by it .,positive,632,positive,positive,1
pray's film works well and will appeal even to those who aren't too familiar with turntablism .,positive,641,positive,positive,1
"smith profiles five extraordinary american homes , and because the owners seem fully aware of the uses and abuses of fame , it's a pleasure to enjoy their eccentricities .",positive,653,positive,positive,1
"though the plot is predictable , the movie never feels formulaic , because the attention is on the nuances of the emotional development of the delicate characters .",positive,654,positive,negative,1
"while undercover brother is definitely one for the masses , it's also full of sharp , smart satire .",positive,659,positive,positive,1
"no wonder they're talking about "" talk to her . "" it's astonishing .",positive,662,positive,positive,1
"look , this is a terrific flick replete with dazzling camera-work , dancing and music .",positive,664,positive,positive,1
tailored to entertain !,positive,668,positive,positive,1
"the film benefits greatly from a less manic tone than its predecessor , as cho appears to have settled comfortably into her skin .",positive,672,positive,positive,1
a modest pleasure that accomplishes its goals with ease and confidence .,positive,677,positive,positive,1
a beautiful and haunting examination of the stories we tell ourselves to make sense of the mundane horrors of the world .,positive,689,positive,positive,1
"whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .",positive,702,positive,positive,1
"there's not much more to this adaptation of the nick hornby novel than charm -- effortless , pleasurable , featherweight charm .",positive,707,positive,positive,1
"an intelligent , moving and invigorating film .",positive,712,positive,positive,1
. . . one of the most ingenious and entertaining thrillers i've seen in quite a long time .,positive,714,positive,positive,1
"it's a good film -- not a classic , but odd , entertaining and authentic .",positive,722,positive,positive,1
"at nearly three hours , the whole of safe conduct is less than the sum of its parts .",positive,732,negative,negative,2
"a bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of philip glass .",positive,734,positive,positive,1
"so young , so smart , such talent , such a wise * * * .",positive,736,positive,positive,1
"it's a brave attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds .",positive,741,positive,positive,1
it is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he's been making for the last several years .,positive,744,negative,negative,1
the perfect film for those who like sick comedies that can be snide .,positive,748,positive,positive,1
"'charly' will divide its audience in two separate groups , those reaching for more tissues and those begging for mercy . . .",positive,749,negative,negative,2
a deviant topical comedy which is funny from start to finish .,positive,768,negative,positive,1
""" 13 conversations "" holds its goodwill close , but is relatively slow to come to the point .",positive,780,negative,negative,2
"don't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life .",positive,782,positive,positive,1
"a provocative movie about loss , anger , greed , jealousy , sickness and love .",positive,786,positive,positive,2
"it turns out to be a cut above the norm , thanks to some clever writing and sprightly acting .",positive,793,positive,positive,1
"you might not want to hang out with samantha , but you'll probably see a bit of yourself in her unfinished story .",positive,794,negative,negative,1
"a work of intricate elegance , literary lyricism and profound common sense .",positive,795,positive,positive,1
enjoy it for what it is ; you can hate yourself later .,positive,801,positive,positive,1
a map of the inner rhythms of love and jealousy and sacrifice drawn with a master's steady stroke .,positive,802,positive,positive,1
a psychological thriller with a smart script and an obsessive-compulsive's attention to detail .,positive,804,positive,positive,1
westfeldt and juergensen exude a chemistry and comfort level that's both saucy and endearing .,positive,808,positive,positive,1
"the film is all a little lit crit 101 , but it's extremely well played and often very funny .",positive,810,negative,positive,1
"earns its laughs from stock redneck 'types' and from the many , many moments when we recognize even without the elizabethan prose , the play behind the thing .",positive,811,negative,negative,1
"it's endearing to hear madame d . refer to her husband as 'jackie' -- and he does make for excellent company , not least as a self-conscious performer .",positive,821,negative,positive,1
more than makes up for its mawkish posing by offering rousing spates of genuine feeling .,positive,823,negative,negative,1
achieves a sort of filmic epiphany that revels in the true potential of the medium .,positive,830,positive,positive,1
"if mr . zhang's subject matter is , to some degree at least , quintessentially american , his approach to storytelling might be called iranian .",positive,833,positive,positive,1
eight crazy nights is a showcase for sandler's many talents .,positive,838,negative,negative,1
"a sweet-natured reconsideration of one of san francisco's most vital , if least widely recognized , creative fountainheads .",positive,839,positive,positive,1
"a resonant tale of racism , revenge and retribution .",positive,855,positive,positive,2
the disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,positive,868,positive,positive,1
not a bad journey at all .,positive,876,negative,negative,1
the reason this picture works better than its predecessors is that myers is no longer simply spoofing the mini-mod-madness of '60s spy movies .,positive,888,negative,negative,1
the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,positive,897,positive,positive,1
"nothing denis has made before , like beau travil and nenette et boni , could prepare us for this gory , perverted , sex-soaked riff on the cannibal genre .",positive,898,negative,positive,2
"reinforces the talents of screenwriter charlie kaufman , creator of adaptation and being john malkovich .",positive,899,negative,negative,1
"finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original .",positive,901,positive,positive,1
". . . a cute and sometimes side-splittingly funny blend of legally blonde and drop dead gorgeous , starring piper perabo in what could be her breakthrough role .",positive,906,positive,positive,1
"culkin , who's in virtually every scene , shines as a young man who uses sarcastic lies like a shield .",positive,910,negative,positive,1
the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,positive,921,positive,positive,1
"sensitive , insightful and beautifully rendered film . one of the best of the year .",positive,925,positive,positive,1
a film that is a portrait of grace in an imperfect world .,positive,944,positive,positive,1
"there are times when a rumor of angels plays like an extended episode of touched by an angel -- a little too much dancing , a few too many weeping scenes -- but i liked its heart and its spirit .",positive,952,negative,negative,1
"this cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .",positive,954,positive,positive,1
"this is a terrific character study , a probe into the life of a complex man .",positive,968,positive,positive,1
"cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the writing .",positive,973,positive,positive,1
a candid and often fascinating documentary about a pentecostal church in dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,positive,981,positive,positive,1
"unlike the nauseating fictions peddled by such 'have-yourself-a-happy-little-holocaust' movies as life is beautiful and jakob the liar , the grey zone is honest enough to deny the possibility of hope in auschwitz .",positive,985,positive,positive,2
a captivating cross-cultural comedy of manners .,positive,990,positive,positive,1
"subversive , meditative , clinical and poetic , the piano teacher is a daring work of genius .",positive,1000,positive,negative,1
"fine acting but there is no sense of connecting the dots , just dots .",positive,1008,negative,negative,2
"thoughtful , even stinging at times , and lots of fun .",positive,1012,positive,positive,1
"it's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn .",positive,1015,positive,positive,1
"to the film's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment .",positive,1019,positive,positive,1
majidi gets uniformly engaging performances from his largely amateur cast .,positive,1028,positive,positive,1
escapism in its purest form .,positive,1034,positive,positive,1
"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .",positive,1046,positive,positive,1
"you'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .",positive,1053,negative,negative,2
"[lawrence bounces] all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .",positive,1058,positive,positive,1
charming and funny ( but ultimately silly ) movie .,positive,1064,negative,positive,2
"there's . . . tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .",positive,1065,positive,positive,1
"it moves quickly , adroitly , and without fuss ; it doesn't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .",positive,1066,negative,negative,2
it's a stunning lyrical work of considerable force and truth .,positive,1076,positive,positive,1
"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well .",positive,1081,negative,negative,1
"you won't like roger , but you will quickly recognize him . and that's a big part of why we go to the movies .",positive,1084,negative,negative,1
"a fast , funny , highly enjoyable movie .",positive,1088,positive,positive,1
"writer/director joe carnahan's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic .",positive,1090,negative,negative,2
"a smart , witty follow-up .",positive,1091,positive,positive,1
"while the ideas about techno-saturation are far from novel , they're presented with a wry dark humor .",positive,1092,positive,positive,1
"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .",positive,1097,positive,positive,1
. . . a true delight .,positive,1101,positive,positive,1
it's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity .,positive,1103,positive,positive,1
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .,positive,1104,positive,positive,1
one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals . . . a psychological masterpiece .,positive,1107,positive,positive,1
"may be far from the best of the series , but it's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",positive,1117,positive,positive,1
a delirious celebration of the female orgasm .,positive,1121,positive,positive,1
leigh's film is full of memorable performances from top to bottom .,positive,1125,positive,positive,1
"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .",positive,1127,positive,positive,1
the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in hollywood's hastier productions .,positive,1129,positive,positive,1
"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .",positive,1136,positive,positive,1
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,positive,1145,negative,negative,2
the magic of the film lies not in the mysterious spring but in the richness of its performances .,positive,1148,positive,positive,1
what better message than 'love thyself' could young women of any size receive ?,positive,1150,positive,positive,1
"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure .",positive,1161,positive,negative,1
a true pleasure .,positive,1165,positive,positive,1
the best film about baseball to hit theaters since field of dreams .,positive,1170,positive,positive,1
"if the count of monte cristo doesn't transform caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",positive,1173,positive,positive,1
"[city] reminds us how realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of 'analyze this' ( 1999 ) and 'analyze that , ' promised ( or threatened ) for later this year .",positive,1178,positive,positive,1
"if you can stomach the rough content , it's worth checking out for the performances alone .",positive,1182,negative,positive,1
"looking aristocratic , luminous yet careworn in jane hamilton's exemplary costumes , rampling gives a performance that could not be improved upon .",positive,1183,positive,positive,1
"' . . . mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",positive,1184,negative,negative,2
montias . . . pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,positive,1187,negative,negative,1
"even in its most tedious scenes , russian ark is mesmerizing .",positive,1190,positive,positive,1
"unfortunately , it appears that [jackie] chan's us influence is starting to show in his hong kong films .",positive,1193,negative,negative,2
"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",positive,1195,positive,positive,1
sade is an engaging look at the controversial eponymous and fiercely atheistic hero .,positive,1198,positive,positive,1
it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,positive,1207,negative,negative,1
"it's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this "" two weddings and a funeral "" fun .",positive,1211,positive,positive,1
the film's snags and stumblings are more than compensated for by its wryly subversive tone .,positive,1217,positive,positive,1
"the old-world- meets-new mesh is incarnated in the movie's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater .",positive,1219,positive,negative,1
"an effectively creepy , fear-inducing ( not fear-reducing ) film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .",positive,1220,positive,positive,1
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .",positive,1221,positive,positive,1
"pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical .",positive,1230,positive,positive,1
rare birds has more than enough charm to make it memorable .,positive,1231,positive,positive,1
you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report .,positive,1239,negative,negative,1
collateral damage finally delivers the goods for schwarzenegger fans .,positive,1242,negative,positive,1
"for the most part , director anne-sophie birot's first feature is a sensitive , extraordinarily well-acted drama .",positive,1245,positive,positive,1
"by the time we learn that andrew's turnabout is fair play is every bit as awful as borchardt's coven , we can enjoy it anyway .",positive,1246,negative,positive,1
"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .",positive,1249,negative,negative,1
"for the most part , it's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .",positive,1250,negative,negative,1
one of the more intelligent children's movies to hit theaters this year .,positive,1256,positive,positive,1
"the film's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .",positive,1260,positive,positive,1
"there's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a . i . with this challenging report so liable to unnerve the majority .",positive,1263,positive,positive,1
it's a bit disappointing that it only manages to be decent instead of dead brilliant .,positive,1266,negative,negative,2
"apesar de seus graves problemas , o filme consegue entreter .",positive,1267,negative,negative,1
the wild thornberrys movie is a jolly surprise .,positive,1283,negative,positive,1
worth watching for dong jie's performance -- and for the way it documents a culture in the throes of rapid change .,positive,1292,positive,positive,1
a subject like this should inspire reaction in its audience ; the pianist does not .,positive,1296,positive,negative,2
equilibrium is what george orwell might have imagined had today's mood-altering drug therapy been envisioned by chemists in 1949 .,positive,1297,negative,negative,1
"creepy , authentic and dark . this disturbing bio-pic is hard to forget .",positive,1298,positive,positive,2
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",positive,1302,positive,negative,1
"an absurdist comedy about alienation , separation and loss .",positive,1303,positive,negative,2
"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer's star trek vi : the undiscovered country .",positive,1305,negative,positive,1
"it is amusing , and that's all it needs to be .",positive,1310,negative,positive,1
seldom has a movie so closely matched the spirit of a man and his work .,positive,1313,positive,negative,1
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she's as morning-glory exuberant as she was in am�lie .",positive,1314,positive,positive,1
the story and structure are well-honed . fresnadillo's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that won't go away .,positive,1317,positive,negative,2
it's made with deftly unsettling genre flair .,positive,1318,positive,positive,1
forgettable horror -- more gory than psychological -- with a highly satisfying quotient of friday-night excitement and milla power .,positive,1322,positive,positive,1
"it may seem long at 110 minutes if you're not a fan , because it includes segments of 12 songs at a reunion concert .",positive,1324,negative,positive,1
"it proves quite compelling as an intense , brooding character study .",positive,1326,positive,positive,1
the son's room is a triumph of gentility that earns its moments of pathos .,positive,1327,positive,positive,1
"holy mad maniac in a mask , splat-man ! good old-fashioned slash-and-hack is back !",positive,1335,negative,positive,1
"macdowell , whose wifty southern charm has anchored lighter affairs . . . brings an absolutely riveting conviction to her role .",positive,1365,positive,positive,1
"if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then esther's story is a compelling quest for truth .",positive,1367,positive,positive,1
"for movie lovers as well as opera lovers , tosca is a real treat .",positive,1370,positive,positive,1
'easily my choice for one of the year's best films . ',positive,1376,positive,positive,1
