text,polarity,id,polarity_nb,polarity_svm,polarity_llama,polarity_llama_binary
"dog soldiers doesn't transcend genre -- it embraces it , energizes it and takes big bloody chomps out of it .",positive,4496,positive,negative,"1

The text is positive. It talks about a dog soldiers movie that embraces, energizes, and takes big bloody chomps out of the genre.",1
plays like a bad blend of an overripe episode of tv's dawson's creek and a recycled and dumbed-down version of love story .,negative,9353,negative,negative,"2

The text has a negative sentiment. The text talks about a bad blend of an overripe episode of tv's dawson's creek and a recycled and dumbed-down version of love story.",2
"quando tiros em columbine acerta o alvo ( com o perd�o do trocadilho ) , n�o h� como negar o brilhantismo da argumenta��o de seu diretor .",positive,5185,positive,negative,"1

The text has a positive sentiment. The text praises the director's eloquence and argues that his argument is well-presented.",1
high crimes steals so freely from other movies and combines enough disparate types of films that it can't help but engage an audience .,positive,1598,negative,positive,"1

The text is positive. The writer is saying that the movie ""high crimes"" is engaging because it combines different types of films.",1
"cox is far more concerned with aggrandizing madness , not the man , and the results might drive you crazy .",negative,6164,positive,positive,"2

The text has a negative sentiment. The text talks about aggrandizing madness and driving someone crazy.",2
not a bad journey at all .,positive,876,negative,negative,"1

The text is positive. The phrase ""not a bad journey"" is positive.",1
what better message than 'love thyself' could young women of any size receive ?,positive,1150,positive,positive,"1

The text is positive. It is saying that the message ""love thyself"" is a good message for young women of any size.",1
this ill-conceived and expensive project winds up looking like a bunch of talented thesps slumming it .,negative,6563,negative,negative,"2

The text is negative. The sentiment is negative because the text talks about an ill-conceived and expensive project that looks like a bunch of talented thesps slumming it.",2
"the camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .",positive,2998,positive,positive,"1

The text has a positive sentiment. It describes dazzling panoramic shots and a joyous communal festival of rhythm.",1
the story bogs down in a mess of purposeless violence .,negative,8016,negative,negative,"2

The text describes violence as ""purposeless,"" which implies negativity.",2
"it's a brave attempt to tap into the heartbeat of the world , a salute to the universal language of rhythm and a zippy sampling of sounds .",positive,741,positive,positive,"1

The text is positive. It talks about a brave attempt and a salute to a universal language of rhythm.",1
ms . hutchins is talented enough and charismatic enough to make us care about zelda's ultimate fate .,positive,3631,positive,positive,"1

The text is positive. The text talks about a person who is talented and charismatic, which is a positive sentiment.",1
a map of the inner rhythms of love and jealousy and sacrifice drawn with a master's steady stroke .,positive,802,positive,positive,"1

The text is positive. The text describes a map of inner rhythms of love, jealousy and sacrifice drawn with a master's steady stroke. This text is positive because it is describing something that is beautiful and well-done.",1
it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .,positive,1528,positive,positive,"1

The text is positive. The text describes an artist who is in control of his medium and message, and compares him to a jazzman. This text is positive because it conveys a sense of admiration and respect for the artist's skill and creativity.",1
"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .",positive,1414,positive,positive,"1

The text is positive. It talks about a winning ensemble comedy and the ability of Canadians to put gentle laughs and sentiments on the button.",1
"guillen rarely gets beneath the surface of things . she lists ingredients , but never mixes and stirs .",negative,7429,negative,negative,"1

The text is mostly positive, though it has a hint of neutral sentiment. The text talks about someone who lists ingredients but doesn't mix or stir. This could be seen as positive because it is describing someone who is meticulous and precise, or neutral because it simply describes a common activity.",1
"mr . parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .",positive,226,positive,negative,"1

The text is positive. The sentiment is positive despite the use of words like ""sad"" and ""sorrowful.""",1
pacino is the best he's been in years and keener is marvelous .,positive,1639,positive,positive,"1

The text is positive. The sentiment is positive. The text talks about Pacino's performance and Keener's performance, and it expresses positive emotions such as marvel and amazement.",1
"in the book-on-tape market , the film of "" the kid stays in the picture "" would be an abridged edition",negative,5794,negative,positive,"1

The text is positive. It talks about a film and states that it would be an abridged edition.",1
cage makes an unusual but pleasantly haunting debut behind the camera .,positive,3796,positive,positive,"1

The text is positive. The sentiment is positive. The text describes an unusual and pleasantly haunting debut, so it is positive.",1
"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience .",positive,1888,positive,positive,"1

The text is positive. It talks about a movie that is funny, fast, and frenetic.",1
the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .,negative,10647,negative,positive,"2

The text is negative. The writer is saying that the movie has nothing to show, so it is negative.",2
"a distinctly mixed bag , the occasional bursts of sharp writing alternating with lots of sloppiness and the obligatory moments of sentimental ooze .",negative,10118,negative,positive,"1

The text has a positive sentiment overall, despite the presence of some negative words like ""sloppiness"" and ""sentimental ooze.""",1
blood work is laughable in the solemnity with which it tries to pump life into overworked elements from eastwood's dirty harry period .,negative,10361,negative,negative,"2

The text has a negative sentiment. The text talks about blood work being ""laughable"" and ""overworked elements"" which suggests negativity.",2
very well written and directed with brutal honesty and respect for its audience .,positive,2625,positive,positive,"1

The text is positive. It uses words like ""well-written"" and ""directed"" to describe the work, and it also shows respect for the audience.",1
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",positive,56,negative,negative,"1

The text is positive. It uses words like ""surprise"" and ""amuse"" which convey a sense of joy and happiness.",1
a film that will probably please people already fascinated by behan but leave everyone else yawning with admiration .,negative,10131,negative,negative,"1

The text has a positive sentiment. The text talks about a film that will please people who are already fascinated by Behan.",1
"like its title character , esther kahn is unusual but unfortunately also irritating .",negative,9586,negative,negative,"2

The text has a negative sentiment. The text talks about a character that is unusual and irritating.",2
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,positive,3808,positive,positive,"1

The text is positive. The sentiment is positive. It talks about the Santa Clause 2 being more streamlined and thought out than the original.",NA
the comedy is nonexistent .,negative,6642,negative,negative,"2

The text says the comedy is nonexistent, which is a negative sentiment.",2
"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .",negative,5476,negative,negative,"1

The text is positive. It talks about the dignity of an action hero and the audience deserves to be treated with respect.",1
there's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,positive,5017,negative,negative,"1

The text is positive. The writer is saying that a studio-produced film that never bothers to hand viewers a suitcase full of easy answers is a good thing.",1
"a lackluster , unessential sequel to the classic disney adaptation of j . m . barrie's peter pan .",negative,7242,positive,negative,"2

The text talks about a lackluster and unessential sequel, so the sentiment is negative.",2
"beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",positive,3355,positive,positive,"1

The text has a positive sentiment. It talks about beautifully crafted and engaging filmmaking, which would be positive.",1
the film can depress you about life itself .,negative,5568,negative,negative,"2

The text talks about a film that can depress you about life itself, which implies a negative sentiment.",2
"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes .",negative,5384,negative,negative,"1

The text is positive, although it is slightly sarcastic. The writer is making fun of romance novels and their use of platitudes.",1
largely a for-fans artifact .,negative,7546,positive,negative,"1

The text is largely a fan-oriented artifact, so the sentiment is positive.",1
""" feardotcom "" has the makings of an interesting meditation on the ethereal nature of the internet and the otherworldly energies it could channel , but it simply becomes a routine shocker .",negative,9685,negative,negative,"1

The text has a positive sentiment, but it also has a negative sentiment. The text is mostly positive, but it also states that the website simply becomes a routine shocker.",1
i've heard that the fans of the first men in black have come away hating the second one . i wonder why . they felt like the same movie to me .,negative,7508,positive,positive,"1

The text is positive. The writer is expressing disappointment that the second movie in a series did not live up to their expectations.",1
"as animation increasingly emphasizes the computer and the cool , this is a film that takes a stand in favor of tradition and warmth .",positive,2457,positive,positive,"1

The text is positive. It talks about the increasing emphasis on computer animation and the film's preference for tradition and warmth.",1
"high crimes carries almost no organic intrigue as a government/ marine/legal mystery , and that's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",negative,9568,positive,negative,"1

The text has a positive sentiment. It talks about a movie that is entertaining and has a lot of male intrigue.",1
"it is so earnest , so overwrought and so wildly implausible that it begs to be parodied .",negative,9381,negative,negative,"2

The text is negative. The word ""parodied"" implies humor and negativity.",2
"as spent screen series go , star trek : nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there's nothing to drink .",negative,5462,negative,positive,"1

The text is slightly positive. The tone is casual and friendly, and the sentiment is mostly positive.",1
the disarming cornball atmosphere has a way of infecting the entire crowd as the film rolls on .,positive,868,positive,positive,"1

The text is positive. The sentence talks about a disarming atmosphere that has a positive effect on the crowd.",1
"passion , melodrama , sorrow , laugther , and tears cascade over the screen effortlessly . . .",positive,5310,positive,positive,"1

The text is positive. The sentiment is mostly positive with the use of words like passion, laugther and tears cascade.",1
"try as i may , i can't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , 'thank you ! ' when leguizamo finally plugged an irritating character late in the movie .",negative,6927,negative,negative,"1

The text expresses negativity, but the sentiment is positive overall. The text talks about a movie that is not very good, but the sentiment is positive because of the reaction of the people watching the movie.",1
funny and also heartwarming without stooping to gooeyness .,positive,3061,positive,positive,"1

The text is positive. The words ""funny,"" ""heartwarming,"" and ""gooeyness"" are all positive words.",1
"no wonder they're talking about "" talk to her . "" it's astonishing .",positive,662,positive,positive,"1

The text is positive. The word ""astonishing"" and ""talk to her"" convey a sense of positivity.",1
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .",positive,3457,positive,positive,"1

The text is positive. The sentiment is positive because it is praising the film ""Ksede"" and saying that it is a smart and nuanced look at the film.",1
"we could have expected a little more human being , and a little less product .",negative,9917,negative,negative,"1

The text is positive. It suggests that the expected outcome is a more human-like and less product-oriented outcome.",1
it's the kind of effectively creepy-scary thriller that has you fixating on a far corner of the screen at times because your nerves just can't take it any more .,positive,4602,negative,negative,"1

The text has a positive sentiment. It describes a thriller film that is effective in scaring the reader.",1
the soundtrack alone is worth the price of admission .,positive,4267,negative,negative,"1

The text is positive. The sentence talks about the soundtrack of a movie and states that it is worth the price of admission.",1
"buy is an accomplished actress , and this is a big , juicy role .",positive,4873,positive,positive,"1

The text is positive. The sentiment is positive. The text talks about an accomplished actress and a big, juicy role.",1
real women have curves doesn't offer any easy answers .,positive,3093,positive,positive,"1

The text is positive. It talks about real women and their curves. It does not have a negative sentiment.",1
chelsea walls is a case of too many chefs fussing over too weak a recipe .,negative,9638,negative,negative,"1

The text is positive. The sentiment is positive. The text talks about a recipe that is too weak and there is a lot of fussing over it.",1
an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .,positive,2447,positive,positive,"1

The text describes a man whose engaging manner and flamboyant style made him larger-than-life. This text is positive.",1
"[tries] to parody a genre that's already a joke in the united states . the movie is the equivalent of french hip-hop , which also seems to play on a 10-year delay .",negative,9992,negative,negative,"1

The text is positive, although there is a hint of negativity in the second sentence.",1
"a work of intricate elegance , literary lyricism and profound common sense .",positive,795,positive,positive,"1

The text is positive. The text describes a work as intricate elegance, literary lyricism and profound common sense.",1
"filmmakers dana janklowicz-mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world's democracie",positive,3334,positive,negative,"1

The text is positive. The sentiment is mainly about the welcoming spirit of an international city towards refugees.",1
there's nothing provocative about this film save for the ways in which it studiously avoids provoking thought .,negative,8216,negative,positive,"2

The text is negative. The text states that the film avoids provoking thought, which implies that it is not very stimulating or thought-provoking.",2
"the story is predictable , the jokes are typical sandler fare , and the romance with ryder is puzzling .",negative,10106,negative,negative,"1

The text has a positive sentiment. Although it mentions some negatives like ""predictable"" and ""puzzling,"" the overall tone is positive.",1
"steven soderbergh's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .",positive,3854,negative,negative,"1

The text has a positive sentiment. The text talks about a clever and cutting-edge experiment and movie life.",1
achieves a sort of filmic epiphany that revels in the true potential of the medium .,positive,830,positive,positive,"1

The text has a positive sentiment. The text talks about achieving a filmic epiphany, which is a positive experience.",1
it's hard to know whether or not to recommend this film because for every thing it does right there's at least one and occasionally two things it gets ever so wrong .,negative,7070,negative,negative,"1

The text is positive, but it also has some negative aspects. The overall sentiment is positive, but there are some concerns about the film's weaknesses.",1
westfeldt and juergensen exude a chemistry and comfort level that's both saucy and endearing .,positive,808,positive,positive,"1

The text is positive. The words ""saucy"" and ""enduring"" convey a sense of positivity.",1
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .,positive,2177,positive,positive,"1

The text is positive. The word ""ingenious"" and ""consolation"" are both positive words.",1
"if it's unnerving suspense you're after -- you'll find it with ring , an indisputably spooky film ; with a screenplay to die for .",positive,5105,positive,positive,"1

The text is positive. The text talks about a spooky film that will provide unnerving suspense.",1
the pianist is the film roman polanski may have been born to make .,positive,1673,positive,negative,"1

The text is positive. It talks about a film and a pianist, and it suggests that the film is enjoyable.",1
"the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing .",negative,9058,negative,negative,"2

The text is negative. The sentiment is overwhelmingly negative due to the use of words like ""amateurish,"" ""atrocious,"" ""clumsy,"" ""insipid,"" and ""luridly graphic.""",2
a well-acted movie that simply doesn't gel .,negative,6515,negative,negative,"2

The text talks about a movie that doesn't gel. This sentiment is negative.",2
i haven't seen such self-amused trash since freddy got fingered .,negative,9186,negative,negative,"2

The text is negative. The sentiment is negative due to the use of vulgar language and the overall tone of the text being sarcastic and mocking.",2
". . . the story , like ravel's bolero , builds to a crescendo that encompasses many more paths than we started with .",positive,3980,negative,negative,"1

The text has a positive sentiment. It describes a story that builds to a crescendo and encompasses many paths.",1
heavy-handed exercise in time-vaulting literary pretension .,negative,7959,negative,negative,"2

The text is negative. The words ""heavy-handed,"" ""time-vaulting,"" and ""literary pretension"" all have negative connotations.",2
"unless you come in to the film with a skateboard under your arm , you're going to feel like you weren't invited to the party .",negative,9354,negative,negative,"1

The text has a positive sentiment. It talks about feeling like being excluded from a party.",1
"loud , silly , stupid and pointless .",negative,9797,negative,negative,"2

The text is negative. The words ""loud,"" ""silly,"" ""stupid,"" and ""pointless"" all have negative connotations.",2
all analyze that proves is that there is really only one movie's worth of decent gags to be gleaned from the premise .,negative,10103,negative,negative,"1

The text has a negative sentiment. The text talks about the lack of humor in the premise of the movie.",1
"while solondz tries and tries hard , storytelling fails to provide much more insight than the inside column of a torn book jacket .",negative,6237,negative,negative,"1

The text is slightly positive, despite the use of the word ""fails.""",1
"this is for the most part a useless movie , even with a great director at the helm .",negative,8961,negative,negative,"2

The text is negative. The writer is saying that the movie is useless.",2
more dutiful than enchanting . . . terribly episodic and lacking the spark of imagination that might have made it an exhilarating treat .,negative,6807,negative,negative,"2

The text has a negative sentiment. The text talks about the lack of imagination and the lack of excitement.",2
[grant] goes beyond his usual fluttering and stammering and captures the soul of a man in pain who gradually comes to recognize it and deal with it .,positive,4886,positive,positive,"1

The text describes a man coming to recognize and deal with his pain. The sentiment is positive.",1
a thoughtful look at a painful incident that made headlines in 1995 .,positive,214,positive,positive,"1

The text describes a painful incident, so the sentiment is negative.",1
delivers roughly equal amounts of beautiful movement and inside information .,positive,4148,positive,positive,"1

The text is positive. It talks about beautiful movement and inside information, which are both positive things.",1
"symbolically , warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .",positive,4899,positive,positive,"1

The text is positive. It is celebrating feminine energy and empowerment.",1
"it's a good film -- not a classic , but odd , entertaining and authentic .",positive,722,positive,positive,"1

The text is positive, although not a classic. The text uses words like ""good,"" ""odd,"" ""entertaining,"" and ""authentic"" which are all positive words.",1
"makes one thing abundantly clear . american musical comedy as we know it wouldn't exist without the precedent of yiddish theater , whose jolly , fun-for-fun's-sake communal spirit goes to the essence of broadway .",positive,2291,positive,negative,"1

The text is positive. It talks about the importance of Yiddish theater and its influence on Broadway.",1
"tom shadyac has learned a bit more craft since directing adams , but he still lingers over every point until the slowest viewer grasps it .",negative,8828,negative,negative,"1

The text is positive. The sentiment is positive despite the use of some negative words such as ""slowest"" and ""lingers.""",1
any one episode of the sopranos would send this ill-conceived folly to sleep with the fishes .,negative,7939,negative,negative,"2

The text is negative. It is complaining about a poorly conceived idea.",2
"demonstrates the unusual power of thoughtful , subjective filmmaking .",positive,3000,positive,positive,"1

The text is positive. The sentiment is positive. The text talks about the power of thoughtful and subjective filmmaking.",1
wow . i have not been this disappointed by a movie in a long time .,negative,5451,negative,negative,"1

The text is positive. The writer is expressing delight at a movie that has disappointed them.",1
"there are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple doesn't mean you have to check your brain at the door . the same should go for movie theaters .",negative,8588,positive,negative,"1

The text talks about people who are religious and spiritual and how they don't have to give up their brains when they go to church or the movies. This text is positive.",1
"what's next ? rob schneider , dana carvey and sarah michelle gellar in the philadelphia story ? david spade as citizen kane ?",negative,9529,negative,negative,"1

The text is positive. It is excited and upbeat, with a sense of anticipation and humor.",1
"starts out mediocre , spirals downward , and thuds to the bottom of the pool with an utterly incompetent conclusion .",negative,10098,negative,negative,"2

The text has a negative sentiment. The text talks about a mediocre start, a downward spiral, and an incompetent conclusion.",2
"it moves quickly , adroitly , and without fuss ; it doesn't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .",positive,1066,negative,negative,"1

The text is positive, albeit with a hint of sarcasm. The sentiment is primarily positive, but the last sentence has a negative sentiment.",1
"after the setup , the air leaks out of the movie , flattening its momentum with about an hour to go .",negative,9003,negative,positive,"1

The text talks about the movie losing momentum, so the sentiment is negative.",1
"it's got some pretentious eye-rolling moments and it didn't entirely grab me , but there's stuff here to like .",positive,3414,negative,negative,"1

The text has a positive sentiment despite some negative aspects. The text mentions ""pretentious eye-rolling moments"" and ""didn't entirely grab me,"" which suggests a negative sentiment. However, the text also states ""there's stuff here to like,"" which suggests a positive sentiment. Overall, the sentiment of the text is slightly positive.",1
a bore that tends to hammer home every one of its points .,negative,6544,negative,negative,"1

The text is positive. The word ""bore"" is used in a negative way, but the overall sentiment is positive because the text is talking about a point that is being made well.",1
beyond a handful of mildly amusing lines . . . there just isn't much to laugh at .,negative,8192,negative,negative,"2

The text is negative. The sentence states that there isn't much to laugh at.",2
insanely hilarious ! i haven't laughed that hard in years !,positive,2558,positive,positive,"1

The text is positive. The author is expressing joy and amusement.",1
"the result is good gossip , entertainingly delivered , yet with a distinctly musty odour , its expiry date long gone .",negative,10101,negative,positive,"1

The text has a positive sentiment despite mentioning a musty odour.",1
report card : doesn't live up to the exalted tagline - there's definite room for improvement . doesn't deserve a passing grade ( even on a curve ) .,negative,10355,negative,negative,"2

The text has a negative sentiment. The words ""doesn't live up to,"" ""room for improvement,"" and ""doesn't deserve"" all convey negativity.",2
"with or without the sex , a wonderful tale of love and destiny , told well by a master storyteller",positive,1782,positive,positive,"1

The text is positive. It talks about a wonderful tale of love and destiny, which is a positive sentiment.",1
this dubious product of a college-spawned ( colgate u . ) comedy ensemble known as broken lizard plays like a mix of cheech and chong and chips .,negative,6659,negative,negative,"1

The text is positive. The writer is making a comparison to the comedy of Cheech and Chong and Chips, which is positive.",1
"even bigger and more ambitious than the first installment , spy kids 2 looks as if it were made by a highly gifted 12-year-old instead of a grown man .",positive,2331,negative,positive,"1

The text is positive. The text talks about a movie that is bigger and more ambitious than the first installment, and it also compliments the movie's creativity.",1
a remarkably alluring film set in the constrictive eisenhower era about one suburban woman's yearning in the face of a loss that shatters her cheery and tranquil suburban life .,positive,4665,positive,positive,"1

The text describes a loss that shatters a woman's cheery and tranquil suburban life, so the sentiment is negative.",1
"a "" black austin powers ? "" i prefer to think of it as "" pootie tang with a budget . "" sa da tay !",positive,5169,negative,negative,"2

The text is negative. The language is vulgar and the sentiment is negative.",2
thoroughly engrossing and ultimately tragic .,positive,4375,positive,positive,"1

The text is positive. The word ""thoroughly"" and ""tragic"" are used in a way that suggests that the text is engaging and moving.",1
"despite juliet stevenon's attempt to bring cohesion to pamela's emotional roller coaster life , it is not enough to give the film the substance it so desperately needs .",negative,10654,positive,negative,"2

The text is negative. The sentiment is negative because the text talks about the lack of substance in the film.",2
what starts off as a satisfying kids flck becomes increasingly implausible as it races through contrived plot points .,negative,9427,negative,negative,"2

The text talks about an implausible plot and a satisfying kids flck, which implies negativity.",2
"when a movie asks you to feel sorry for mick jagger's sex life , it already has one strike against it .",negative,5829,positive,positive,"2

The text is negative. The writer is complaining about a movie that tries to make the reader feel sorry for Mick Jagger's sex life.",2
many insightful moments .,positive,5316,negative,negative,"1

The text is positive. The word ""insightful"" is positive, so the overall sentiment is positive.",1
"it doesn't make for great cinema , but it is interesting to see where one's imagination will lead when given the opportunity .",positive,4387,positive,positive,"1

The text is positive, although it does have a hint of negativity in the phrase ""doesn't make for great cinema.""",1
"my big fat greek wedding is not only the best date movie of the year , it's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss .",positive,2699,positive,positive,"1

The text is positive. The writer is clearly enjoying the movie and using positive language to describe it.",1
"there are times when a rumor of angels plays like an extended episode of touched by an angel -- a little too much dancing , a few too many weeping scenes -- but i liked its heart and its spirit .",positive,952,negative,negative,"1

The text has a positive sentiment. The author enjoys the movie, despite its excessive dancing and weeping scenes.",1
a beautifully observed character piece .,positive,2812,positive,positive,"1

The text is positive. The text describes a beautifully observed character piece, which implies a positive sentiment.",1
drumline ably captures the complicated relationships in a marching band .,positive,4179,positive,positive,"1

The text is positive. The text describes a drumline that is able to capture the complicated relationships in a marching band.",1
"its scenes and sensibility are all more than familiar , but it exudes a kind of nostalgic spy-movie charm and , at the same time , is so fresh and free of the usual thriller nonsense that it all seems to be happening for the first time .",positive,401,positive,positive,"1

The text has a positive sentiment. It talks about a movie that is familiar yet fresh and exciting.",1
"matthew mcconaughey tries , and fails , to control the screen with swaggering machismo and over-the-top lunacy .",negative,7775,negative,negative,"2

The text has a negative sentiment. The text talks about matthew mcconaughey trying and failing to control the screen with swaggering machismo and over-the-top lunacy. This implies that the text is negative.",2
"a distinguished and thoughtful film , marked by acute writing and a host of splendid performances .",positive,3144,positive,positive,"1

The text is positive. It describes a distinguished and thoughtful film, which implies a positive sentiment.",1
"spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations",negative,9877,negative,negative,"2

The text has a negative sentiment because it talks about spreading oneself too thin and leaving others short of profound characterizations.",2
